Title,Ratings,Book_format,Price,Cover
Machine Learning for Decision Makers: Cognitive Computing Fundamentals for Better Decision Making,4.0 out of 5 stars,Paperback,£22.99,https://m.media-amazon.com/images/I/71RFsTKtZRL._AC_UY218_.jpg
A First Course in Machine Learning (Chapman & Hall/CRC Machine Learning & Pattern Recognition),4.4 out of 5 stars,Hardcover,£40.96,https://m.media-amazon.com/images/I/51DErx+11qL._AC_UY218_.jpg
"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines",4.3 out of 5 stars,Paperback,£37.99,https://m.media-amazon.com/images/I/81k33dFBLtS._AC_UY218_.jpg
Boosting: Foundations and Algorithms (Adaptive Computation and Machine Learning series),4.3 out of 5 stars,Paperback,£24.49,https://m.media-amazon.com/images/I/718-N13kmbL._AC_UY218_.jpg
"Artificial Intelligence By Example: Acquire advanced AI, machine learning, and deep learning design skills, 2nd Edition",4.9 out of 5 stars,Paperback,£29.99,https://m.media-amazon.com/images/I/71QvouQjn5L._AC_UY218_.jpg
"Predicting Heart Failure: Invasive, Non-Invasive, Machine Learning, and Artificial Intelligence Based Methods",,Kindle Edition,£104.00,https://m.media-amazon.com/images/I/61jrPi9zabL._AC_UY218_.jpg
"Machine Learning with R, tidyverse, and mlr",4.5 out of 5 stars,Paperback,£26.50,https://m.media-amazon.com/images/I/71PU1WqsQRL._AC_UY218_.jpg
Introduction to Machine Learning,4.7 out of 5 stars,Paperback,£28.72,https://m.media-amazon.com/images/I/61j4G-2yFiL._AC_UY218_.jpg
Text as Data: A New Framework for Machine Learning and the Social Sciences,,Paperback,£23.42,https://m.media-amazon.com/images/I/81Aa1Pnmk9S._AC_UY218_.jpg
A Beginner's Guide to Sewing by Hand and Machine: A complete step-by-step course,5.0 out of 5 stars,Paperback,£13.25,https://m.media-amazon.com/images/I/71gwMOk767L._AC_UY218_.jpg
Gaussian Processes for Machine Learning,4.6 out of 5 stars,Hardcover,£32.99,https://m.media-amazon.com/images/I/41AABQ1EEPL._AC_UY218_.jpg
Python Machine Learning: The Ultimate Beginner's Guide to Learn Python Machine Learning Step by Step using Scikit-Learn and Tensorflow (Computer Programming),4.0 out of 5 stars,Kindle Edition,£0.00,https://m.media-amazon.com/images/I/71yiZJ-YoqL._AC_UY218_.jpg
